video_id,rank,component,bot_id,phase,level,time,channel_id,parent_video_id
ULdkpU51hTQ,6,homepage,sean.carter.99.test,burst,0,2022-03-16 16:45:26.893423,,
yhbDgIVV4-w,7,homepage,sean.carter.99.test,burst,0,2022-03-16 16:45:26.900984,,
HM5SMSlDi6A,8,homepage,sean.carter.99.test,burst,0,2022-03-16 16:45:26.909116,,
wMi6iKhgdpI,9,homepage,sean.carter.99.test,burst,0,2022-03-16 16:45:26.917301,,
cPRKsKwEdUQ,0,videopage,sean.carter.99.test,burst,0,2022-03-16 16:45:43.446663,UCl0q_XqiWDMA-Q9SzUO3y-Q,yICSRPQnYlM
NReT4f1bXY0,1,videopage,sean.carter.99.test,burst,0,2022-03-16 16:45:43.446673,UCY59e-e_c2B_hZ0zvkIFqZg,yICSRPQnYlM
7oj-PMDjSa4,2,videopage,sean.carter.99.test,burst,0,2022-03-16 16:45:43.446674,UCmgnsaQIK1IR808Ebde-ssA,yICSRPQnYlM
Xy7BbkacIBM,3,videopage,sean.carter.99.test,burst,0,2022-03-16 16:45:43.446676,UCPDV03MHuLpyBo4PFQJrsKA,yICSRPQnYlM
pu5GKwygrKM,4,videopage,sean.carter.99.test,burst,0,2022-03-16 16:45:43.446677,UCzF4Ryn8TKn64md77gS5Q5Q,yICSRPQnYlM
cz8S1sRVz1c,5,videopage,sean.carter.99.test,burst,0,2022-03-16 16:45:43.446679,UCg7lal8IC-xPyKfgH4rdUcA,yICSRPQnYlM
xwuSgA_RzYc,6,videopage,sean.carter.99.test,burst,0,2022-03-16 16:45:43.446680,UCp1KrVaZDZ7BOI_QBuTWWmg,yICSRPQnYlM
RYwCxUkQeIQ,7,videopage,sean.carter.99.test,burst,0,2022-03-16 16:45:43.446681,UCR416vnUgUYBauuu3TDchoQ,yICSRPQnYlM
phsU1vVHOQI,8,videopage,sean.carter.99.test,burst,0,2022-03-16 16:45:43.446683,UCaXkIU1QidjPwiAYu6GcHjg,yICSRPQnYlM
BSOtKXV2reo,9,videopage,sean.carter.99.test,burst,0,2022-03-16 16:45:43.446684,UC0iwHRFpv2_fpojZgQhElEQ,yICSRPQnYlM
0-qAxWMjSKw,0,homepage,sean.carter.99.test,burst,1,2022-03-16 16:47:37.648704,,
nP9zoP3km7g,1,homepage,sean.carter.99.test,burst,1,2022-03-16 16:47:37.658923,,
7eOnu19E3vU,2,homepage,sean.carter.99.test,burst,1,2022-03-16 16:47:37.667238,,
lKq4q6lM2T0,3,homepage,sean.carter.99.test,burst,1,2022-03-16 16:47:37.675780,,
uq5i_iRc9Eg,4,homepage,sean.carter.99.test,burst,1,2022-03-16 16:47:37.683983,,
9voZnLhXFL4,5,homepage,sean.carter.99.test,burst,1,2022-03-16 16:47:37.692151,,
38zRx9AYDHQ,6,homepage,sean.carter.99.test,burst,1,2022-03-16 16:47:37.699610,,
neV3EPgvZ3g,7,homepage,sean.carter.99.test,burst,1,2022-03-16 16:47:37.707806,,
DSCkYRTjlNw,8,homepage,sean.carter.99.test,burst,1,2022-03-16 16:47:37.715917,,
2oLl8NLtels,9,homepage,sean.carter.99.test,burst,1,2022-03-16 16:47:37.724002,,
Xy7BbkacIBM,0,videopage,sean.carter.99.test,burst,1,2022-03-16 16:47:54.248611,UCPDV03MHuLpyBo4PFQJrsKA,LyPTfSyVOwE
caNRc1ER8p4,1,videopage,sean.carter.99.test,burst,1,2022-03-16 16:47:54.248623,UCEUWJj0VjNJ1UoeAsjXY8tg,LyPTfSyVOwE
NkK7fymVq3c,2,videopage,sean.carter.99.test,burst,1,2022-03-16 16:47:54.248625,UCLRRFtUECHLFNVXiBhBfV7g,LyPTfSyVOwE
MIxbqz-6qtA,3,videopage,sean.carter.99.test,burst,1,2022-03-16 16:47:54.248628,UCp1KrVaZDZ7BOI_QBuTWWmg,LyPTfSyVOwE
L7vTv-FMAPk,4,videopage,sean.carter.99.test,burst,1,2022-03-16 16:47:54.248629,UCU7c62_Znm0bmzCzRbTy7Kg,LyPTfSyVOwE
fJ7El41zXSE,5,videopage,sean.carter.99.test,burst,1,2022-03-16 16:47:54.248631,UCgQzcVYDE016Bb6JLWRavhQ,LyPTfSyVOwE
bdRf-7pwW48,6,videopage,sean.carter.99.test,burst,1,2022-03-16 16:47:54.248633,UCWGljB8djPusdaKtVx1UKfg,LyPTfSyVOwE
RYwCxUkQeIQ,7,videopage,sean.carter.99.test,burst,1,2022-03-16 16:47:54.248635,UCR416vnUgUYBauuu3TDchoQ,LyPTfSyVOwE
IxAcW7zgAD4,8,videopage,sean.carter.99.test,burst,1,2022-03-16 16:47:54.248637,UC4eYXhJI4-7wSWc8UNRwD4A,LyPTfSyVOwE
