video_id,channel_id,rank,component,watch_video_id,bot_name,phase,homepage_level,videopage_level,topic,strategy,note,on_list,manual_label_1-4,exp_stage,on_topic
hqG7Zj-5WMI,UCpB959t8iPrxQWj7G6n0ctQ,8,homepage,,alt-right_delete_4,scrub,79,41,alt-right,delete,4,False,False,3,False
PM2f835zx88,UC0Kgvj5t_c9EMWpEDWJuR1Q,9,homepage,,alt-right_delete_4,scrub,79,41,alt-right,delete,4,False,False,3,False
Z8HJNypu_1Y,UCCB1oLQY3XM86ACD05Lq4HQ,0,homepage,,alt-right_dislike_0,stain,1,2,alt-right,dislike,0,False,False,1,False
2isYuQZMbdU,UCX6OQ3DkcsbYNE6H8uQQuVA,1,homepage,,alt-right_dislike_0,stain,1,2,alt-right,dislike,0,False,False,1,False
42M3esYyHdw,UCGfgKimGJ4yueKEtFVPpHtw,2,homepage,,alt-right_dislike_0,stain,1,2,alt-right,dislike,0,False,False,1,False
46cn714UK_E&list=RDCMUCkY8CvV8WQFe87CZGmvuYHA&start_radio=1,,3,homepage,,alt-right_dislike_0,stain,1,2,alt-right,dislike,0,False,,1,False
Cv0N8g68t2w,UC3kMrgEHl6Stw8TE2PSQtrw,4,homepage,,alt-right_dislike_0,stain,1,2,alt-right,dislike,0,False,False,1,False
voPHtxuiiRc,UCctFmLPZeYVSUMzn0HVycPA,5,homepage,,alt-right_dislike_0,stain,1,2,alt-right,dislike,0,False,False,1,False
SzuZnh91U8E,UCmyjVwYZbp5YPYTUyeopO2g,6,homepage,,alt-right_dislike_0,stain,1,2,alt-right,dislike,0,False,False,1,False
bFqu9YVuAgI,UCUxc0iEpV8wZV4WLOui0RwQ,7,homepage,,alt-right_dislike_0,stain,1,2,alt-right,dislike,0,False,False,1,False
Q7thCeXnPEI,UCXHcH4CggCrvIpm0KM0kHQg,8,homepage,,alt-right_dislike_0,stain,1,2,alt-right,dislike,0,False,False,1,False
sEMR16gOXLM,UC5X8wA2pn9sbD765c-rmkMg,9,homepage,,alt-right_dislike_0,stain,1,2,alt-right,dislike,0,False,False,1,False
pTohkrufHac,UCFGVu_P82EhUc42Qi1aYTgg,0,homepage,,alt-right_dislike_0,stain,39,40,alt-right,dislike,0,False,False,2,False
fXS_gkWAIs0,UChPuCAEXg7iYkVNjQY1NGYg,1,homepage,,alt-right_dislike_0,stain,39,40,alt-right,dislike,0,False,False,2,False
uqjU-CcmVr8,UC9pYOJPB5UYlMlGKKZWo-Bw,2,homepage,,alt-right_dislike_0,stain,39,40,alt-right,dislike,0,False,False,2,False
7Bz5g80twBM,UCEKahDl_amqEoBqzh9UDYHw,3,homepage,,alt-right_dislike_0,stain,39,40,alt-right,dislike,0,False,False,2,False
2isYuQZMbdU,UCX6OQ3DkcsbYNE6H8uQQuVA,4,homepage,,alt-right_dislike_0,stain,39,40,alt-right,dislike,0,False,False,2,False
n2Mv3nAWiTg,UCTUjcQH88KJODhSm8mc64pg,5,homepage,,alt-right_dislike_0,stain,39,40,alt-right,dislike,0,False,False,2,False
Cv0N8g68t2w,UC3kMrgEHl6Stw8TE2PSQtrw,6,homepage,,alt-right_dislike_0,stain,39,40,alt-right,dislike,0,False,False,2,False
NyyIu3hVC5w,UC_ZsljDWsoe-K1onqEUOFfg,7,homepage,,alt-right_dislike_0,stain,39,40,alt-right,dislike,0,False,False,2,False
lNe1D_E3R8E,UCPDis9pjXuqyI7RYLJ-TTSA,8,homepage,,alt-right_dislike_0,stain,39,40,alt-right,dislike,0,False,False,2,False
BtTaJAxrqf4,UCJZg9j7nM5F8HrAYB1arxAQ,9,homepage,,alt-right_dislike_0,stain,39,40,alt-right,dislike,0,False,False,2,False
V7xMEWAY13M,UC7mulY9xtAwowL3mz9aCTog,0,homepage,,alt-right_dislike_0,scrub,79,81,alt-right,dislike,0,False,False,3,False
1a8A79Tlyi4,UCJyYPIYM-2iuvc6MKasAEQQ,1,homepage,,alt-right_dislike_0,scrub,79,81,alt-right,dislike,0,False,False,3,False
YEVeFzePoj4,UCHC60upCUfq7EAfw6oDQRDA,2,homepage,,alt-right_dislike_0,scrub,79,81,alt-right,dislike,0,True,,3,True
